id,redshift,chandra_Lx,chi2,H10_flux,H9_flux,H8_flux,Heps_flux,Hdelta_flux,Hgamma_flux,Hbeta_flux,Halpha_flux,[OII]3726_flux,[OII]3729_flux,[SII]6716_flux,[SII]6731_flux,[NeIII]3968_flux,[NeIII]3869_flux,HeII4687_flux,HeI5876_flux,[OIII]5007_d_flux,[OI]6300_d_flux,[NII]6583_d_flux,Hgamma_b_flux,Hbeta_b_flux,Halpha_b_flux,H10_err,H9_err,H8_err,Heps_err,Hdelta_err,Hgamma_err,Hbeta_err,Halpha_err,[OII]3726_err,[OII]3729_err,[SII]6716_err,[SII]6731_err,[NeIII]3968_err,[NeIII]3869_err,HeII4687_err,HeI5876_err,[OIII]5007_d_err,[OI]6300_d_err,[NII]6583_d_err,Hgamma_b_err,Hbeta_b_err,Halpha_b_err,H10_ew,H9_ew,H8_ew,Heps_ew,Hdelta_ew,Hgamma_ew,Hbeta_ew,Halpha_ew,[OII]3726_ew,[OII]3729_ew,[SII]6716_ew,[SII]6731_ew,[NeIII]3968_ew,[NeIII]3869_ew,HeII4687_ew,HeI5876_ew,[OIII]5007_d_ew,[OI]6300_d_ew,[NII]6583_d_ew,Hgamma_b_ew,Hbeta_b_ew,Halpha_b_ew
AEGIS_0552,5.68445,2.27E+44,1.932304593,0,6.850680868,33.75607343,0,19.72463135,0,82.02448486,2756.237767,55.67914009,22.56250118,155.2258145,0,28.87784049,0,6.637588939,0,209.2319316,106.3695883,0,83.33348167,109.7140403,1580.700149,6.314131759,6.801604981,7.989703991,53.82854023,6.094057778,12.359237,12.773254,29.50172713,47.43037587,47.50917451,27.74379457,28.69696009,54.0585893,8.438669287,7.251806636,11.16355227,9.500562105,15.32433287,33.40543146,18.22241577,19.41850946,37.55955724,0,2.86022614,11.68151702,0,6.8606609,0,22.46183169,277.818286,25.64026975,10.12313948,14.64136257,0,11.16119455,0,1.690290072,0,40.33802215,11.99735328,0,24.6523707,30.04442286,159.3285642
CDF-N_0147,5.18,1.13E+44,1.670292132,nan,nan,nan,nan,nan,nan,0,1085.835946,nan,nan,135.6375387,130.0173504,nan,nan,0.765666822,67.94621149,0,203.6559984,341.1851451,nan,177.436883,6476.019355,nan,nan,nan,nan,nan,nan,12.15002443,16.34961402,nan,nan,12.48768641,12.54461257,nan,nan,17.83069383,10.95473217,12.42572585,27.16214548,23.69505059,nan,30.62191972,54.08353121,nan,nan,nan,nan,nan,nan,0,41.51135458,nan,nan,5.907712115,5.752413798,nan,nan,0.018522685,2.750488257,0,8.9135836,13.47066444,nan,4.388699604,247.5773036
UDS_0113,5.1537,4.99E+44,2.013256295,15.09579449,42.74563052,68.10380786,33.59943727,82.1749879,0,135.4372304,1296.634593,67.39280511,0,0,28.85659467,14.98051893,36.3437994,0,26.58140831,916.3238181,0,0,168.48351,84.15531859,485.5705398,11.41974639,12.52605864,15.42697955,91.98581577,10.57646408,28.34703977,23.28052463,26.4107142,96.2565603,95.94183404,26.32894361,25.72735623,93.02516844,16.24105656,10.36560873,12.59351239,12.97361321,17.35520046,41.39684988,38.64068061,32.35929269,59.62843416,11.33347842,37.68091618,60.79213578,23.34826368,42.67186884,0,41.20542785,474.4495674,50.81326521,0,0,10.90879664,10.40996917,28.24492362,0,7.285760047,241.3261401,0,0,77.50611948,25.60341715,177.6743685
CDF-S_0041,4.8211,-7.31E+42,0.888763803,10.62902615,104.937736,0,46.60718774,11.86114812,0,0,76.04199056,103.4701547,0,1.258462108,14.7993236,0,0,0,5.40760019,177.6714374,33.90526586,10.8427419,0,0,154.3601247,25.7483014,31.83619609,37.2368992,258.8138097,24.33339545,48.49898005,42.35782272,52.4148384,217.6907135,217.3183201,55.24127758,59.63001418,259.8128128,43.11040478,22.0943838,24.40198528,25.58447903,30.89209347,79.11264488,67.68951404,58.73610825,88.50369196,1.573678814,14.76348188,0,5.991693873,1.453488521,0,0,16.03669624,16.94857532,0,0.273732283,3.257465584,0,0,0,0.987820881,24.77526804,6.456659055,2.333644631,0,0,32.5534144
UDS_0269,4.554766667,4.71E+44,11.81908249,0,0,848.6239361,0,1967.225222,626.9172756,2369.606259,17952.03733,0,860.043677,411.4112664,0,1107.027676,338.0804101,193.6051279,1744.482876,4346.010268,558.0430368,7971.778978,6490.658563,14376.68645,29390.72946,91.45079232,115.121521,140.4935148,881.4078196,82.00663488,176.3198776,148.860247,212.8238908,805.9696651,801.8219325,213.5951024,221.3263438,880.2553256,165.3945418,86.81198541,75.34284374,78.80002243,109.0829951,263.8672642,260.7067303,215.6387641,256.5090355,0,0,3.144465407,0,8.403157388,2.684795507,12.43583668,113.2354224,0,3.134721877,2.917508975,0,4.354749581,1.224328935,0.803637853,11.1608057,18.70767281,3.487295763,51.01539379,27.79647591,75.44971826,185.3868508
CDF-N_0025,4.41384,5.64E+42,0.940467313,0,0,178.9795987,0,195.2860463,0,195.0948627,0,0,338.3571645,138.2581129,42.66794107,99.51797594,0,26.39462204,48.11040733,1156.035279,89.6281707,0,80.6074231,0,931.5746027,36.72657384,45.99139261,55.4513339,321.7744711,28.17247186,267.4471186,236.040885,512.45757,333.839773,337.6420198,74.9635343,74.38991927,322.7595593,65.20308461,24.34417018,25.02189872,27.22820471,30.37020768,172.9371789,266.5460957,236.4513893,391.027207,0,0,16.75824091,0,20.46456502,0,26.25716749,0,0,29.84555145,42.82969529,13.28547167,10.08755569,0,3.072561384,9.53781829,149.611638,22.00243039,0,8.884114412,0,288.4383344
CDF-N_0241,4.139866667,6.36E+43,0.60582917,0,0,0,0,0,64.72529185,128.475508,0,17.25399494,105.6235951,0,502.1854272,0,15.68127699,142.4794365,0,1150.736105,108.273763,0,65.97528275,164.5594651,5407.167937,63.81283465,81.94522033,94.18394087,611.8374407,49.51944555,104.7040767,95.41944533,596.3925688,592.0328593,590.685211,163.8782921,162.3577024,615.3184602,116.3281828,43.47000905,50.7223852,53.40279468,63.41352504,1355.864997,103.3323016,95.67596611,733.8064384,0,0,0,0,0,3.157861375,6.806508983,0,1.001378196,6.130126118,0,24.37323429,0,0.823693121,6.991528198,0,55.0465311,5.239807045,0,3.218846777,8.71820236,265.4525472
CDF-N_0601,4.1314,5.69E+43,0.454250639,0,70.46112949,0,0,0,73.36478738,143.909163,1056.41932,163.7956876,0,176.7543802,123.3578249,175.5956262,0,68.88868504,35.6474054,335.6111858,95.69104175,522.7613255,200.2897643,0,301.7259304,71.41426094,81.71356548,90.52763204,586.2541173,53.62062423,134.530847,113.7532747,142.9415958,641.3535103,626.6520331,129.7524617,131.4217751,586.960131,105.9293847,48.7002947,50.37097038,61.88140524,62.4124536,223.3580965,168.8313398,153.0091699,224.5748484,0,39.31081293,0,0,0,17.96669553,36.43680735,178.9895763,65.32095151,0,27.49615929,19.18971626,68.15147542,0,14.79476659,5.681433954,72.11343579,14.56289643,81.89807674,49.0500326,0,51.12155318
UDS_0383,3.981033333,1.08E+44,1.504555291,2.049071161,16.2730124,38.9046807,0,27.84646005,0,17.04913963,70.69471424,0,0,19.62349128,35.57353456,57.16180678,0,29.30082227,0,65.36226316,0,168.1209942,0,0,139.5929898,17.98476169,21.49117682,24.61215697,157.5348605,15.22967536,30.93635009,26.81105352,24.57460187,163.7549212,164.5076263,27.13502744,27.75220196,157.9587286,27.87354831,13.70537835,12.17351102,15.06744094,15.92744997,36.3071257,42.40552269,38.10063942,44.11798781,0.268401011,1.997173191,4.040016463,0,2.437339633,0,1.321157376,5.875107062,0,0,1.489162346,2.699558781,5.867130964,0,2.027434548,0,4.725822712,0,13.97174952,0,0,11.6009205
UDS_0099,3.94665,1.43E+44,0.546185942,236.0446655,268.4833614,286.4030779,175.0806474,130.0090454,0,42.9115381,806.8604422,0,355.2003052,92.55569521,0,0,0,102.3372502,0,290.7636874,0,86.4381791,0,0,558.1316008,47.57568373,67.1495169,81.28184449,456.7222179,36.20537334,92.95652856,88.4989937,196.6985833,434.8399725,432.7002203,118.1277394,114.0432662,456.8680639,99.42780187,32.65839965,34.60897932,40.84022313,42.48950125,157.5787265,99.01203953,94.22008925,106.7466953,19.39821854,21.3030082,19.59792011,9.996784548,6.186147377,0,2.187303162,47.94211357,0,35.81112716,5.212341378,0,0,0,4.34306998,0,13.12679234,0,5.135992277,0,0,33.16311867
